Date,Close
2014-12-16,21.950001
2014-12-17,23.67
2014-12-18,24.030001
2014-12-19,23.77
2014-12-22,22.67
2014-12-23,22.690001
2014-12-24,23.200001
2014-12-29,23.040001
2014-12-30,23.49
2014-12-31,23.629999
2015-01-02,24.530001
2015-01-05,24.82
2015-01-06,25.809999
2015-01-07,25.26
2015-01-08,24.959999
2015-01-09,25.76
2015-01-12,27.26
2015-01-13,26.879999
2015-01-14,26.65
2015-01-15,27.280001
2015-01-16,27.92
2015-01-19,28.25
2015-01-20,28.85
2015-01-21,28.879999
2015-01-22,29.209999
2015-01-23,28.620001
2015-01-26,29.290001
2015-01-27,29.77
2015-01-28,28.67
2015-01-29,28.07
2015-01-30,29.190001
2015-02-02,29.1
2015-02-03,28.02
2015-02-04,29.040001
2015-02-05,29.02
2015-02-06,27.959999
2015-02-09,28.049999
2015-02-10,27.870001
2015-02-11,27.879999
2015-02-12,28.02
2015-02-13,28.35
2015-02-17,26.889999
2015-02-18,27.68
2015-02-19,27.120001
2015-02-20,26.860001
2015-02-23,26.66
2015-02-24,26.389999
2015-02-25,26.549999
2015-02-26,26.860001
2015-02-27,27
2015-03-02,26.6
2015-03-03,24.969999
2015-03-04,24.700001
2015-03-05,24.469999
2015-03-06,23.709999
2015-03-09,23.299999
2015-03-10,23.059999
2015-03-11,23.780001
2015-03-12,23.559999
2015-03-13,24.129999
2015-03-16,23.959999
2015-03-17,23.58
2015-03-18,23.91
2015-03-19,24.690001
2015-03-20,25.48
2015-03-23,25.51
2015-03-24,25.48
2015-03-25,25.17
2015-03-26,24.58
2015-03-27,24.719999
2015-03-30,24.34
2015-03-31,24.059999
2015-04-01,25.02
2015-04-02,24.1
2015-04-06,24.51
2015-04-07,24.4
2015-04-08,24.209999
2015-04-09,24.17
2015-04-10,24.66
2015-04-13,24.07
2015-04-14,23.719999
2015-04-15,23.940001
2015-04-16,23.440001
2015-04-17,23.790001
2015-04-20,23.83
2015-04-21,23.940001
2015-04-22,23.290001
2015-04-23,23.48
2015-04-24,23.309999
2015-04-27,24.040001
2015-04-28,24.629999
2015-04-29,24.75
2015-04-30,23.799999
2015-05-01,24.52
2015-05-04,24.5
2015-05-05,23.959999
2015-05-06,23.6
2015-05-07,24.110001
2015-05-08,24
2015-05-11,24.200001
2015-05-12,24.23
2015-05-13,24.82
2015-05-14,24.620001
2015-05-15,24.559999
2015-05-19,24.049999
2015-05-20,23.91
2015-05-21,23.93
2015-05-22,23.82
2015-05-25,23.57
2015-05-26,23.34
2015-05-27,23.34
2015-05-28,23.58
2015-05-29,23.75
2015-06-01,23.93
2015-06-02,24.02
2015-06-03,23.719999
2015-06-04,23.6
2015-06-05,23.23
2015-06-08,23.120001
2015-06-09,22.77
2015-06-10,23.08
2015-06-11,22.870001
2015-06-12,22.610001
2015-06-15,22.98
2015-06-16,22.620001
2015-06-17,22.91
2015-06-18,23.16
2015-06-19,22.360001
2015-06-22,22.469999
2015-06-23,22.299999
2015-06-24,22.209999
2015-06-25,21.91
2015-06-26,21.83
2015-06-29,21.620001
2015-06-30,21.65
2015-07-02,21.74
2015-07-03,21.709999
2015-07-06,22.209999
2015-07-07,19.620001
2015-07-08,19.57
2015-07-09,19.43
2015-07-10,19.17
2015-07-13,19.24
2015-07-14,18.91
2015-07-15,18.610001
2015-07-16,18.370001
2015-07-17,17.780001
2015-07-20,16.32
2015-07-21,16.57
2015-07-22,16.790001
2015-07-23,16.190001
2015-07-24,16.870001
2015-07-27,16.49
2015-07-28,16.860001
2015-07-29,17.129999
2015-07-30,17.059999
2015-07-31,17.120001
2015-08-04,16.809999
2015-08-05,16.17
2015-08-06,16.549999
2015-08-07,16.690001
2015-08-10,17.4
2015-08-11,17.280001
2015-08-12,18.290001
2015-08-13,17.93
2015-08-14,17.780001
2015-08-17,18.25
2015-08-18,17.82
2015-08-19,18.200001
2015-08-20,18.17
2015-08-21,17.870001
2015-08-24,16.42
2015-08-25,15.97
2015-08-26,15.34
2015-08-27,15.87
2015-08-28,16.379999
2015-08-31,16.129999
2015-09-01,15.63
2015-09-02,15.49
2015-09-03,15.28
2015-09-04,15.14
2015-09-08,15.41
2015-09-09,15.09
2015-09-10,15.08
2015-09-11,15.42
2015-09-14,14.76
2015-09-15,15.22
2015-09-16,16.26
2015-09-17,16.48
2015-09-18,16.35
2015-09-21,16.15
2015-09-22,15.61
2015-09-23,15.43
2015-09-24,16.66
2015-09-25,16.57
2015-09-28,15.79
2015-09-29,15.87
2015-09-30,16.040001
2015-10-01,15.27
2015-10-02,16.809999
2015-10-05,17.75
2015-10-06,18.85
2015-10-07,18.860001
2015-10-08,18.469999
2015-10-09,18.68
2015-10-13,17.799999
2015-10-14,19.059999
2015-10-15,19.09
2015-10-16,18.459999
2015-10-19,17.780001
2015-10-20,18.200001
2015-10-21,17.790001
2015-10-22,18.200001
2015-10-23,18.969999
2015-10-26,18.799999
2015-10-27,19.23
2015-10-28,19.280001
2015-10-29,18.110001
2015-10-30,17.77
2015-11-02,17.98
2015-11-03,17.85
2015-11-04,17.940001
2015-11-05,17.08
2015-11-06,16.67
2015-11-09,16.870001
2015-11-10,16.530001
2015-11-11,16.379999
2015-11-12,16.4
2015-11-13,16.51
2015-11-16,16.700001
2015-11-17,16.09
2015-11-18,16.879999
2015-11-19,17.190001
2015-11-20,16.74
2015-11-23,16.65
2015-11-24,16.889999
2015-11-25,16.889999
2015-11-26,17.209999
2015-11-27,16.98
2015-11-30,17.549999
2015-12-01,18.08
2015-12-02,17.84
2015-12-03,17.93
2015-12-04,18.690001
2015-12-07,17.93
2015-12-08,17.879999
2015-12-09,17.940001
2015-12-10,17.879999
2015-12-11,18.290001
2015-12-14,17.35
2015-12-15,17.24
2015-12-16,17.719999
2015-12-17,16.65
2015-12-18,17.219999
2015-12-21,17.370001
2015-12-22,17.440001
2015-12-23,17.690001
2015-12-24,17.91
2015-12-29,17.219999
2015-12-30,17.07
2015-12-31,17.200001
2016-01-04,17.42
2016-01-05,17.07
2016-01-06,17.23
2016-01-07,18.32
2016-01-08,18.07
2016-01-11,16.74
2016-01-12,15.95
2016-01-13,16.110001
2016-01-14,15.94
2016-01-15,16.200001
2016-01-18,16.110001
2016-01-19,15.31
2016-01-20,15.23
2016-01-21,15.03
2016-01-22,14.99
2016-01-25,15.12
2016-01-26,15.8
2016-01-27,15.87
2016-01-28,15.58
2016-01-29,16.51
2016-02-01,16.83
2016-02-02,16.540001
2016-02-03,17.65
2016-02-04,18.459999
2016-02-05,19.620001
2016-02-08,20.48
2016-02-09,19.66
2016-02-10,19.68
2016-02-11,20.709999
2016-02-12,21.15
2016-02-16,20.450001
2016-02-17,20.639999
2016-02-18,21.73
2016-02-19,21.43
2016-02-22,21.370001
2016-02-23,21.65
2016-02-24,21.639999
2016-02-25,21.469999
2016-02-26,20.85
2016-02-29,21.34
2016-03-01,20.35
2016-03-02,20.799999
2016-03-03,21.59
2016-03-04,21.950001
2016-03-07,22.469999
2016-03-08,22.040001
2016-03-09,21.860001
2016-03-10,22.950001
2016-03-11,22.530001
2016-03-14,22.27
2016-03-15,22.57
2016-03-16,23.379999
2016-03-17,23.059999
2016-03-18,23.26
2016-03-21,23.309999
2016-03-22,23.290001
2016-03-23,22.65
2016-03-24,22.82
2016-03-28,22.700001
2016-03-29,23.24
2016-03-30,22.879999
2016-03-31,21.549999
2016-04-01,21.4
2016-04-04,20.58
2016-04-05,21.360001
2016-04-06,21.43
2016-04-07,21.51
2016-04-08,21.49
2016-04-11,22.23
2016-04-12,22.73
2016-04-13,22.450001
2016-04-14,21.6
2016-04-15,21.9
2016-04-18,21.67
2016-04-19,23.41
2016-04-20,24.110001
2016-04-21,24.280001
2016-04-22,23.33
2016-04-25,23.25
2016-04-26,23.58
2016-04-27,23.77
2016-04-28,24.93
2016-04-29,26.290001
2016-05-02,25.360001
2016-05-03,24.77
2016-05-04,24.190001
2016-05-05,24.42
2016-05-06,25.18
2016-05-09,23.610001
2016-05-10,23.790001
2016-05-11,24.76
2016-05-12,24.290001
2016-05-13,24.860001
2016-05-16,25.110001
2016-05-17,26.059999
2016-05-18,24.309999
2016-05-19,25.01
2016-05-20,25.120001
2016-05-24,24.139999
2016-05-25,24.450001
2016-05-26,24.440001
2016-05-27,23.74
2016-05-30,23.690001
2016-05-31,24.450001
2016-06-01,24.280001
2016-06-02,24.58
2016-06-03,26.389999
2016-06-06,26.52
2016-06-07,26.58
2016-06-08,26.83
2016-06-09,27.07
2016-06-10,27.059999
2016-06-13,27.09
2016-06-14,26.1
2016-06-15,27.200001
2016-06-16,26.93
2016-06-17,27.049999
2016-06-20,27.16
2016-06-21,26.67
2016-06-22,26.780001
2016-06-23,26.58
2016-06-24,27.690001
2016-06-27,28.75
2016-06-28,28.549999
2016-06-29,29.59
2016-06-30,30.41
2016-07-04,32.470001
2016-07-05,32.060001
2016-07-06,33.169998
2016-07-07,32.369999
2016-07-08,33.639999
2016-07-11,34.630001
2016-07-12,33.119999
2016-07-13,34
2016-07-14,33.880001
2016-07-15,33.650002
2016-07-18,34.16
2016-07-19,34.349998
2016-07-20,33.240002
2016-07-21,34.240002
2016-07-22,34.389999
2016-07-25,33.66
2016-07-26,34.040001
2016-07-27,35.52
2016-07-28,35.68
2016-07-29,36.450001
2016-08-02,38.310001
2016-08-03,37.919998
2016-08-04,37.970001
2016-08-05,37.93
2016-08-08,38.490002
2016-08-09,39.049999
2016-08-10,39.389999
2016-08-11,39.669998
2016-08-12,39.52
2016-08-15,39.73
2016-08-16,39.68
2016-08-17,38.959999
2016-08-18,39.09
2016-08-19,37.610001
2016-08-22,37.43
2016-08-23,36.799999
2016-08-24,33.880001
2016-08-25,34.52
2016-08-26,34.540001
2016-08-29,34.919998
2016-08-30,33.490002
2016-08-31,33.240002
2016-09-01,34.349998
2016-09-02,35.669998
2016-09-06,37.139999
2016-09-07,37.759998
2016-09-08,37.369999
2016-09-09,35.639999
2016-09-12,36.450001
2016-09-13,35.169998
2016-09-14,35.48
2016-09-15,35.52
2016-09-16,35.16
2016-09-19,35.560001
2016-09-20,35.34
2016-09-21,37.84
2016-09-22,37.490002
2016-09-23,36.619999
2016-09-26,36.459999
2016-09-27,35.950001
2016-09-28,36.470001
2016-09-29,36.369999
2016-09-30,35.439999
2016-10-03,34.419998
2016-10-04,31.1
2016-10-05,30.639999
2016-10-06,30.110001
2016-10-07,29.93
2016-10-11,29.889999
2016-10-12,30.57
2016-10-13,30.540001
2016-10-14,30.040001
2016-10-17,30.41
2016-10-18,31.59
2016-10-19,31.940001
2016-10-20,32.279999
2016-10-21,32.41
2016-10-24,31.950001
2016-10-25,32.41
2016-10-26,32.040001
2016-10-27,31.33
2016-10-28,31.370001
2016-10-31,32.32
2016-11-01,32.630001
2016-11-02,32.139999
2016-11-03,32.650002
2016-11-04,31.9
2016-11-07,31.209999
2016-11-08,31.35
2016-11-09,32.240002
2016-11-10,27.01
2016-11-11,24.280001
2016-11-14,24.91
2016-11-15,26.5
2016-11-16,26.65
2016-11-17,25.870001
2016-11-18,25.299999
2016-11-21,25.25
2016-11-22,25.719999
2016-11-23,24.709999
